estacion,duracion_min,Tr_anios,I_oficial_mmh,I_plataforma_mmh
LA_PLATA_-_AUT_21115170,60,2,16.29,21.8
LA_PLATA_-_AUT_21115170,120,2,11.39,12.3
LA_PLATA_-_AUT_21115170,180,2,9.23,9.1
LA_PLATA_-_AUT_21115170,360,2,6.44,5.7
LA_PLATA_-_AUT_21115170,10,5,51.16,105.0
LA_PLATA_-_AUT_21115170,20,5,36.22,63.3
LA_PLATA_-_AUT_21115170,30,5,29.49,51.8
LA_PLATA_-_AUT_21115170,60,5,20.67,30.2
LA_PLATA_-_AUT_21115170,120,5,14.45,17.4
LA_PLATA_-_AUT_21115170,180,5,11.72,12.8
LA_PLATA_-_AUT_21115170,360,5,8.18,8.0
LA_PLATA_-_AUT_21115170,10,10,61.26,121.2
LA_PLATA_-_AUT_21115170,20,10,43.37,67.2
LA_PLATA_-_AUT_21115170,30,10,35.31,55.6
LA_PLATA_-_AUT_21115170,60,10,24.75,33.6
LA_PLATA_-_AUT_21115170,120,10,17.31,19.9
LA_PLATA_-_AUT_21115170,180,10,14.03,14.7
LA_PLATA_-_AUT_21115170,360,10,9.79,9.1
LA_PLATA_-_AUT_21115170,10,25,77.74,132.0
LA_PLATA_-_AUT_21115170,20,25,55.04,68.1
LA_PLATA_-_AUT_21115170,30,25,44.81,57.0
LA_PLATA_-_AUT_21115170,60,25,31.41,36.6
LA_PLATA_-_AUT_21115170,120,25,21.96,22.5
LA_PLATA_-_AUT_21115170,180,25,17.8,16.6
LA_PLATA_-_AUT_21115170,360,25,12.43,10.2
LA_PLATA_-_AUT_21115170,10,50,93.09,136.2
LA_PLATA_-_AUT_21115170,20,50,65.91,68.1
LA_PLATA_-_AUT_21115170,30,50,53.66,57.0
LA_PLATA_-_AUT_21115170,60,50,37.61,38.0
LA_PLATA_-_AUT_21115170,120,50,26.3,24.0
LA_PLATA_-_AUT_21115170,180,50,21.32,17.7
LA_PLATA_-_AUT_21115170,360,50,14.88,10.8
LA_PLATA_-_AUT_21115170,10,100,111.47,138.0
LA_PLATA_-_AUT_21115170,20,100,78.93,68.4
LA_PLATA_-_AUT_21115170,30,100,64.25,57.0
LA_PLATA_-_AUT_21115170,60,100,45.04,39.0
LA_PLATA_-_AUT_21115170,120,100,31.49,25.2
LA_PLATA_-_AUT_21115170,180,100,25.53,18.5
LA_PLATA_-_AUT_21115170,360,100,17.82,11.3
PUERTO_SALGAR_-_AUT_23037010,10,2,68.6,52.2
PUERTO_SALGAR_-_AUT_23037010,20,2,49.66,36.3
PUERTO_SALGAR_-_AUT_23037010,30,2,40.63,29.8
PUERTO_SALGAR_-_AUT_23037010,60,2,28.48,19.2
PUERTO_SALGAR_-_AUT_23037010,120,2,19.78,13.2
PUERTO_SALGAR_-_AUT_23037010,180,2,15.94,9.7
PUERTO_SALGAR_-_AUT_23037010,360,2,11.0,6.4
PUERTO_SALGAR_-_AUT_23037010,10,5,92.82,138.0
PUERTO_SALGAR_-_AUT_23037010,20,5,67.2,100.5
PUERTO_SALGAR_-_AUT_23037010,30,5,54.98,84.0
PUERTO_SALGAR_-_AUT_23037010,60,5,38.53,56.4
PUERTO_SALGAR_-_AUT_23037010,120,5,26.76,34.0
PUERTO_SALGAR_-_AUT_23037010,180,5,21.57,23.4
PUERTO_SALGAR_-_AUT_23037010,360,5,14.88,11.5
PUERTO_SALGAR_-_AUT_23037010,10,10,116.68,193.8
PUERTO_SALGAR_-_AUT_23037010,20,10,84.47,143.4
PUERTO_SALGAR_-_AUT_23037010,30,10,69.11,122.8
PUERTO_SALGAR_-_AUT_23037010,60,10,48.43,86.9
PUERTO_SALGAR_-_AUT_23037010,120,10,33.64,49.7
PUERTO_SALGAR_-_AUT_23037010,180,10,27.11,33.4
PUERTO_SALGAR_-_AUT_23037010,360,10,18.71,14.8
PUERTO_SALGAR_-_AUT_23037010,10,25,157.88,250.8
PUERTO_SALGAR_-_AUT_23037010,20,25,114.29,187.8
PUERTO_SALGAR_-_AUT_23037010,30,25,93.5,165.8
PUERTO_SALGAR_-_AUT_23037010,60,25,65.53,126.2
PUERTO_SALGAR_-_AUT_23037010,120,25,45.51,69.0
PUERTO_SALGAR_-_AUT_23037010,180,25,36.68,45.5
PUERTO_SALGAR_-_AUT_23037010,360,25,25.31,19.1
PUERTO_SALGAR_-_AUT_23037010,10,50,198.46,282.0
PUERTO_SALGAR_-_AUT_23037010,20,50,143.67,212.1
PUERTO_SALGAR_-_AUT_23037010,30,50,117.54,191.8
PUERTO_SALGAR_-_AUT_23037010,60,50,82.38,153.9
PUERTO_SALGAR_-_AUT_23037010,120,50,57.21,82.0
PUERTO_SALGAR_-_AUT_23037010,180,50,46.11,53.6
PUERTO_SALGAR_-_AUT_23037010,360,50,31.82,22.2
PUERTO_SALGAR_-_AUT_23037010,10,100,249.46,304.8
PUERTO_SALGAR_-_AUT_23037010,20,100,180.59,230.4
PUERTO_SALGAR_-_AUT_23037010,30,100,147.75,212.4
PUERTO_SALGAR_-_AUT_23037010,60,100,103.55,179.1
PUERTO_SALGAR_-_AUT_23037010,120,100,71.91,93.5
PUERTO_SALGAR_-_AUT_23037010,180,100,57.96,60.8
